rotten_tomatoes_link,review_content,movie_title,movie_info,id
m/1078022-buddy,,Buddy,"Thanks to the indulgence of her patient husband, Dr. Bill Lintz (Robbie Coltrane), wealthy eccentric Trudy (Rene Russo) has already accumulated a large collection of wild animals by 1931 when she is introduced to Buddy, a sickly young gorilla. Trudy raises Buddy as her own child, dressing him in human clothes, and the ape responds with absolute obedience. But as Buddy grows older and larger, Trudy is unable to restrain him from turning increasingly violent.",22486
m/1018989-silent_night_deadly_night,"As slasher films go, this is about average. The sets are cheap, with most of the budget seemingly going to the gore effects.","Silent Night, Deadly Night","An orphan raised by nuns (Lilyan Chauvin, Gilmer McCormick) grows up to be a killer toy-store Santa Claus.",40000
m/1032182-white_fang,"The movie is magnificently photographed on location. The performances are authentic and understated, and Brandauer makes a convincing veteran prospector, part hard-bitten, part dreamer.",White Fang,"This adaptation of Jack London's wilderness tale focuses on young Jack Conroy (Ethan Hawke), who has arrived in Alaska to search for a gold mine. When Jack encounters White Fang, a dog/wolf hybrid who has been cruelly treated by his owner, Beauty Smith (James Remar), he rescues the canine from the jaws of death during a fight with a fierce bulldog. Aided by his friend Alex Larson (Klaus Maria Brandauer), Jack nurses White Fang back to health, and the animal becomes a close companion to the men.",97246
m/alexandras-project,It's really the feel-bad movie of the week. In a genius sort of way.,Alexandra's Project,"Returning home from work, a man (Gary Sweet) finds a videotape that has disturbing revelations from his vengeful wife (Helen Buday).",11768
m/10012207-stolen,"Plays like a middling episode of Law & Order: SVU, drawn out an extra half-hour and embellished with pretentious literary and cinematic flourishes.",Stolen,"A detective (Jon Hamm) becomes obsessed with solving a child's 50-year-old murder, uncovering striking similarities between the case and his son's disappearance.",65067
m/aparajito,,Aparajito,"The second part of Satyajit Ray's famous Apu trilogy, this Indian drama focuses on young Apu, who lives with his mother, Sarbajaya (Kanu Bandyopadhyay), and father, Harihar (Pinaki Sengupta), near the Ganges River. When Harihar dies suddenly, Apu and Sarbajaya move to a small village to be near relatives. Eventually, she reluctantly allows her son (now played by Smaran Ghosal) to attend school in Calcutta. As Apu acclimates to life in the city, Sarbajaya struggles with his absence.",653
m/1078030-hoodlum,"This is a gangster movie in a sense, but it is also about free enterprise.",Hoodlum,"Having just been released from jail, Bumpy Johnson (Laurence Fishburne) returns to his criminal ways as a linchpin in the African-American-run numbers racket. However, Bumpy's longtime friend Illinois Gordon (Chi McBride) and girlfriend Francine Hughes (Vanessa Williams) are both eager to get him back on the straight and narrow. But a brewing rivalry with Mafia boss Lucky Luciano (Andy Garcia) and his henchman Dutch Schultz (Tim Roth) threatens to raise the stakes to dangerous new levels.",17328
m/10008830-bill,"When all is said and done, Bill is let down by Bill.",Meet Bill,A mild-mannered bank executive (Aaron Eckhart) mentors a teenage con artist and tries to make a career change as a doughnut merchant.,87691
m/amityville_the_awakening,"It reminds us that evil, in capital letters, is cyclical. [Full Review in Spanish]",Amityville: The Awakening,"When some footage dating back to 1976 is discovered, the case of the haunted house in Amityville is reopened. An ambitious woman who is working as a television news intern seizes the opportunity to advance her career and is soon leading a team of journalists, clergymen, and paranormal researchers into the house, but she may have unwittingly opened a door to the unreal that she will never be able to close.",83118
m/1079452-assignment,"A spy thriller with no thrills, no doubt an interesting cinematic gambit but not one we'd recommend.",The Assignment,"Annibal Ramirez (Aidan Quinn) is an American naval officer who looks remarkably like notorious international assassin Carlos Sanchez (also Quinn). Veteran CIA agent Jack Shaw (Donald Sutherland) has a vendetta against Sanchez and recruits Ramirez to impersonate the fugitive. Along with Mossad operative Amos (Ben Kingsley), Shaw begins training Ramirez to become Sanchez, but the mission proves to be incredibly perilous, and the American soon wonders if it's worth the risk.",40778
m/albino_alligator,,Albino Alligator,"When a robbery in New Orleans ends in disaster, the mercurial burglar Dova (Matt Dillon) escapes with his cohorts to a seedy, nearby bar. Capturing all those inside, the criminals trade barbs with the establishment's feisty bartender Janet Boudreaux (Faye Dunaway). The pub becomes highly volatile, however, when the police encircle it; as it turns out, they were already there surveilling another of the bar's patrons, a suspected illicit arms trafficker named Guy Foucard (Viggo Mortensen).",28500
m/1010979-jazz_singer,,The Jazz Singer,"Jess Robin (Neil Diamond) dreams of a career in popular music, but his father, Cantor Rabinovitch (Laurence Olivier), forbids it, insisting Jess live as a traditional Jew and inherit his position at the synagogue. With the help of friend and professional musician Bubba (Franklin Ajaye), Jess gets a chance to go to Los Angeles and have famous singer Keith Lennox (Paul Nicholas) record one of his songs. Defying both his father and his wife, Jess leaves New York to pursue his dreams.",6828
m/1010979-jazz_singer,"Diamond tries his best. Olivier over compensates, but the songs are classic.",The Jazz Singer,"Jess Robin (Neil Diamond) dreams of a career in popular music, but his father, Cantor Rabinovitch (Laurence Olivier), forbids it, insisting Jess live as a traditional Jew and inherit his position at the synagogue. With the help of friend and professional musician Bubba (Franklin Ajaye), Jess gets a chance to go to Los Angeles and have famous singer Keith Lennox (Paul Nicholas) record one of his songs. Defying both his father and his wife, Jess leaves New York to pursue his dreams.",6832
m/1067234-boomerang,"Elia Kazan, as an afterthought, comments he wished he played up the corruption part of the story in more detail.",Boomerang!,"Connecticut prosecutor Henry Harvey (Dana Andrews), faced with a political maelstrom in the wake of the shooting death of a Catholic priest on a city street corner, feels tremendous pressure to prosecute a vagrant ex-soldier whom Police Chief Robinson (Lee J. Cobb) apprehended in connection with the crime. After the vagrant confesses, it looks to be an open and shut case, but Harvey remains unconvinced and chooses to risk his career in order to discover the truth.",6210
m/10008856-badland,"Exploiting what it is supposed to renounce, Badland combines a dreadfully long and dull screenplay and extremely plain surroundings to make a well-meaning anti-war film you'll want to miss.",Badland,Home from Iraq a soldier cannot cope with daily life.,5141
m/1032182-white_fang,,White Fang,"This adaptation of Jack London's wilderness tale focuses on young Jack Conroy (Ethan Hawke), who has arrived in Alaska to search for a gold mine. When Jack encounters White Fang, a dog/wolf hybrid who has been cruelly treated by his owner, Beauty Smith (James Remar), he rescues the canine from the jaws of death during a fight with a fierce bulldog. Aided by his friend Alex Larson (Klaus Maria Brandauer), Jack nurses White Fang back to health, and the animal becomes a close companion to the men.",97249
m/1213735-death_in_love,"Yakin and his cast are up to the job, but the current they tap into is so charged it proves overpowering. Still, their bravery is commendable.",Death in Love,Two sons struggle to deal with their mother's affair with the Nazi doctor who experimented on them.,72163
m/1019017-silver_streak,"A nifty little Hitchcock knockoff, with great chemistry between Wilder and Pryor.",Silver Streak,"While on a cross-country train ride, overworked book editor George Caldwell (Gene Wilder) begins an unexpected romance with an enigmatic woman named Hilly Burns (Jill Clayburgh). His vacation is interrupted, however, when he witnesses a murder for which he is then accused. The true villains kidnap Hilly and eject Caldwell from the moving train. Desperate, Caldwell teams up with car thief Grover Muldoon (Richard Pryor), and together they must save Hilly while avoiding the police.",16238
m/1076620-anna_karenina,"Provided you have a burning interest in pretty visuals and less regard for the whys and wherefores of human behavior, this latest adaptation of Tolstoy's classic is a pleasant watch.",Anna Karenina,"Tolstoy's tragic Anna (Sophie Marceau) leaves her old, cold husband for dashing Count Vronsky (Sean Bean) in 19th-century Russia.",10838
m/24_exposures,"""Yet if, like said before, Swanberg keeps """"chiseling"""" away",24 Exposures,A fetish photographer and a homicide detective develop an unlikely friendship as they probe the murder of a model.,54936
m/a_brighter_summer_day_1991,"A Brighter Summer Day's extended running time pays off: Si'r's spiral towards tragedy never stretches credibility, because Yang takes the time to let it realistically occur, showing us each factor that contributes to his slow transformation.",A Brighter Summer Day,"A boy experiences first love, friendships and injustices growing up in 1960s Taiwan.",10113
m/1032795-connection,"A lean, mean saga of jazz, junk and rebellion.",The Connection,"In a cramped and dirty apartment, eight junkies variously goof off, chat and play jazz music while waiting for their heroin connection to show up. They've also struck a deal with documentary filmmaker Jim Dunn (William Redfield) : They'll let him film them provided he pays for their drugs. When the dealer, Cowboy (Carl Lee), arrives, he's suspicious of the filmmaker and his camera, enough so that Dunn considers trying heroin himself to prove he's no narc and to better understand his subjects.",29691
m/a_score_to_settle,Too often stumbles with its inconsistent and schlocky take on the geriatric revenge thriller movie.,A Score to Settle,"Diagnosed with a fatal condition, a mob enforcer leaves prison after 19 years and plots a bloody course of revenge against his old gang.",7591
m/10008126-straightheads,Exploitative and depressing.,Straightheads (Closure),"There is instant chemistry between Alice (Gillian Anderson), a businesswoman, and Adam (Danny Dyer), a younger working-class man who installs a security system in her London apartment. She takes him to a party in the country, and they end up making love. But the night turns horrific when they encounter three thugs who maim Adam and rape Alice. The incident turns them into fearful recluses until Alice spots the leader of their attackers (Anthony Calf) -- and the two victims plot a brutal revenge.",96277
m/1004463-college,Minor Keaton slapstick comedy.,College,"Brilliant in his studies and dismissive of athletics, Ronald (Buster Keaton) finishes high school at the top of his class. But in college his uptight attitude doesn't win him any points with his sports-loving classmates, and pretty coed Mary (Anne Cornwall) ignores him in favor of brutish jock Jeff (Harold Goodwin). Hoping to impress Mary, Ronald makes a buffoon of himself at every sport imaginable, usually at Jeff's hand. But Ronald gets a final shot at glory in a big rowing race.",18966
m/24_redemption,"It's still a dark and brutal program, but there has clearly been a creative reassessment of the show. It's the kind of self-awareness that could resurrect a series that looked like its popularity might be sliding away.",24: Redemption,Jack Bauer (Kiefer Sutherland) tries to prevent an African warlord from recruiting children for his militia.,42821
m/10008856-badland,Badland is a good 30-45 minutes too long.,Badland,Home from Iraq a soldier cannot cope with daily life.,5144
m/1018009-running_scared,"""""""Running Scared"""" tries to be a light comedy in a violent",Running Scared,"Ray and Danny (Gregory Hines, Billy Crystal) are two Chicago police detectives hot on the trail of drug kingpin Julio Gonzales (Jimmy Smits). They manage to nab the drug lord, but the bust is messy, and the two are suspended. While vacationing in Key West, Fla., they decide to retire from the police force and open up a bar. But when they return to Chicago and find out that Gonzales has been released on bail, they vow not to quit the force until the dangerous dealer is behind bars for good.",9807
m/10008830-bill,"Takes scattershot aim at all manner of appropriate targets-the vapid nature of local television news, the perceived stigma of standing out from the pack in America, the dilemma of dreams deferred and abandoned-but rarely hits the comic bull's-eye.",Meet Bill,A mild-mannered bank executive (Aaron Eckhart) mentors a teenage con artist and tries to make a career change as a doughnut merchant.,87695
m/1175079-antibodies,a sophisticatedly modern noir thriller that sorts the sheep from the lambs.,Antikörper (Antibodies),"After a serial killer (André Hennicke) is arrested, a small-town policeman (Wotan Wilke Möhring) gets to interrogate him, but the interview challenges the cop's beliefs, turning him into a threat.",10047
m/1049883-alice,Its glorious proliferation of magical transformations works like a charm on anyone who values the imagination.,Alice (Neco z Alenky),"In Czech director Jan Svankmajer's surreal adaptation of Lewis Carroll's classic children's book, Alice (Kristyna Kohoutova) follows her stuffed rabbit through a portal inside her dresser to be whisked away to Wonderland. While the White Rabbit, Mad Hatter and Cheshire Cat are still present, the familiar magical world and bizarre characters have undergone an unsettling transformation in the director's vision through the stop-motion animation of dead animals, puppets and other assorted objects.",99008
m/1032750-hidden_agenda,"Well-intentioned, but rather murky.",Hidden Agenda,"""In Ireland, American lawyer Ingrid Jessner (Frances McDormand) and her activist partner, Paul Sullivan (Brad Dourif), struggle to uncover atrocities committed by the British government against the Northern Irish during the """"Troubles."""" But when Sullivan is assassinated in the streets",67413
m/1001138-april_fools_day,I've seen this film before...as an episode of The Golden Girls.,April Fool's Day,"When a group of college students decides to spend spring break at the secluded island estate of their wealthy classmate, Muffy St. John (Deborah Foreman), what starts out as a fun, hedonistic weekend turns into something more sinister. Muffy is very fond of practical jokes, and sets up numerous gags throughout her mansion. But, when friends begin going missing and turn up dead, they realize that they're trapped on the isolated isle with a mysterious and brutal killer.",64563
m/24_exposures,"In this sleek yet confessional drama by the prolific filmmaker Joe Swanberg, the boundaries of art and life are probed with a knowing yet uneasy directness.",24 Exposures,A fetish photographer and a homicide detective develop an unlikely friendship as they probe the murder of a model.,54923
m/10012207-stolen,"The low-boil mystery-thriller Stolen was once known as The Boy In The Box and then Stolen Lives, but now has a title as nondescript as its contents.",Stolen,"A detective (Jon Hamm) becomes obsessed with solving a child's 50-year-old murder, uncovering striking similarities between the case and his son's disappearance.",65066
m/1175079-antibodies,"Antibodies brings together a philosophically minded serial killer, a devoutly religious cop and a cynical filmmaker clearly itching to go Hollywood.",Antikörper (Antibodies),"After a serial killer (André Hennicke) is arrested, a small-town policeman (Wotan Wilke Möhring) gets to interrogate him, but the interview challenges the cop's beliefs, turning him into a threat.",10042
m/1034067-switch,"Funny, and ultimatelty romantic. Barkin is a riot!",Switch,"Steve Brooks (Perry King), a sexist womanizer, is killed by a group of his angry former lovers. In heaven, he makes a bargain with God for redemption and agrees to return to Earth. Once there, he must have a sincere relationship with a female and make her fall in love with him. If not, Steve's soul will become the property of the devil (Bruce Martyn Payne). But the devil hedges his bet, and Steve is reincarnated as a woman named Amanda Brooks (Ellen Barkin).",2433
m/a_night_in_old_mexico,"""Duvall can justify it all, he's just that kind of actor, but """"A Night in Old Mexico"""" hasn't worked hard enough to give him a story worthy of his talents. In many cases",A Night In Old Mexico,"After traveling to Mexico with his grandson (Jeremy Irvine), a rancher (Robert Duvall) finds stolen money from a drug deal.",11119
m/10008126-straightheads,"The film looks professional and has a relatively big-name star in Gillian Anderson, but the screenplay - written by director Dan Reed - doesn't make a single bit of sense.",Straightheads (Closure),"There is instant chemistry between Alice (Gillian Anderson), a businesswoman, and Adam (Danny Dyer), a younger working-class man who installs a security system in her London apartment. She takes him to a party in the country, and they end up making love. But the night turns horrific when they encounter three thugs who maim Adam and rape Alice. The incident turns them into fearful recluses until Alice spots the leader of their attackers (Anthony Calf) -- and the two victims plot a brutal revenge.",96291
m/after_the_thin_man,The two leading players seem to have a swell time throughout.,After the Thin Man,"Recently returned home from vacation, private detective Nick Charles (William Powell) and his socialite wife, Nora (Myrna Loy), are back on the case when Nora's cousin, Selma (Elissa Landi), reports her husband Robert (Alan Marshal) missing. As the duo search for the disreputable Robert, Selma's friend David Graham (James Stewart), who secretly pines for her, aids the investigation. When the three begin to unravel Robert's secret life, the missing persons case turns into one of murder.",49087
m/1076620-anna_karenina,"This sleek, Cliffs Notes version of a masterpiece is ... glossy and picture perfect on the surface and hollow at the core.",Anna Karenina,"Tolstoy's tragic Anna (Sophie Marceau) leaves her old, cold husband for dashing Count Vronsky (Sean Bean) in 19th-century Russia.",10832
m/1213735-death_in_love,"Posing as a study in evil, Death in Love is claptrap that confuses bile with art.",Death in Love,Two sons struggle to deal with their mother's affair with the Nazi doctor who experimented on them.,72168
m/armstrong_2019,I didn't feel I learnt anything new about a man who didn't care for me learning much about him in the first place.,Armstrong,Interviews and never-before-seen footage highlight the incredible life of astronaut Neil Armstrong -- from his near-death experiences as a fighter pilot and test pilot to his historic Apollo 11 mission to the moon.,33466
m/1032795-connection,"With so much to offer, the picture can be excused from the duties of entertainment in the pleasurable sense.",The Connection,"In a cramped and dirty apartment, eight junkies variously goof off, chat and play jazz music while waiting for their heroin connection to show up. They've also struck a deal with documentary filmmaker Jim Dunn (William Redfield) : They'll let him film them provided he pays for their drugs. When the dealer, Cowboy (Carl Lee), arrives, he's suspicious of the filmmaker and his camera, enough so that Dunn considers trying heroin himself to prove he's no narc and to better understand his subjects.",29697
m/11_minutes,"""""""11 Minutes"""" finds veteran Polish writer-director Jerzy Skolimowski in a decidedly experimental mood.""",11 Minutes (11 Minut),The lives of urbanites intertwine in a world where anything can happen at any time.,19457
m/1015095-nighthawks,A taut urban thriller with a hissable villain and an unforgettable ending. One of Stallone's best films.,Nighthawks,"Fresh from mounting a devastating bomb attack in London, an international terrorist arrives in New York and remains intent upon wreaking further havoc. His preparation is clinical and thorough but he overlooks one thing - the grit and steely determination of one New York cop.",56907
m/1019017-silver_streak,,Silver Streak,"While on a cross-country train ride, overworked book editor George Caldwell (Gene Wilder) begins an unexpected romance with an enigmatic woman named Hilly Burns (Jill Clayburgh). His vacation is interrupted, however, when he witnesses a murder for which he is then accused. The true villains kidnap Hilly and eject Caldwell from the moving train. Desperate, Caldwell teams up with car thief Grover Muldoon (Richard Pryor), and together they must save Hilly while avoiding the police.",16244
m/10012207-stolen,[A] graceless piece of tragedy porn...,Stolen,"A detective (Jon Hamm) becomes obsessed with solving a child's 50-year-old murder, uncovering striking similarities between the case and his son's disappearance.",65062
m/a_score_to_settle,"Starts out stupid, gets even stupider, and then it ends, which is one of the most satisfying things to be said about it.",A Score to Settle,"Diagnosed with a fatal condition, a mob enforcer leaves prison after 19 years and plots a bloody course of revenge against his old gang.",7584
m/1013884-mighty_joe_young,,Mighty Joe Young,"Jill Young (Terry Moore) has raised Joe, her gentle pet gorilla, since he was a baby. When a Hollywood, Calif., nightclub owner (Robert Armstrong) travels to Africa and notices the amazing animal, he pursuades Jill to send Joe to Hollywood. But Joe grows restless performing for crowds and finally breaks free from captivity, wreaking havoc on the city. To save Joe from the authorities, who want him dead, Jill must create an elaborate plan to send him back to Africa.",56880
m/1049883-alice,"a triumph of the creative imagination, reordering both Lewis Carroll's original text and the drabness of the material world into a disturbing wonderland of textures and tactility",Alice (Neco z Alenky),"In Czech director Jan Svankmajer's surreal adaptation of Lewis Carroll's classic children's book, Alice (Kristyna Kohoutova) follows her stuffed rabbit through a portal inside her dresser to be whisked away to Wonderland. While the White Rabbit, Mad Hatter and Cheshire Cat are still present, the familiar magical world and bizarre characters have undergone an unsettling transformation in the director's vision through the stop-motion animation of dead animals, puppets and other assorted objects.",99007
m/1004463-college,,College,"Brilliant in his studies and dismissive of athletics, Ronald (Buster Keaton) finishes high school at the top of his class. But in college his uptight attitude doesn't win him any points with his sports-loving classmates, and pretty coed Mary (Anne Cornwall) ignores him in favor of brutish jock Jeff (Harold Goodwin). Hoping to impress Mary, Ronald makes a buffoon of himself at every sport imaginable, usually at Jeff's hand. But Ronald gets a final shot at glory in a big rowing race.",18962
m/1213735-death_in_love,"A stagy, melodramatic, and downright effective story about the way a mother's pain is passed on to her brood.",Death in Love,Two sons struggle to deal with their mother's affair with the Nazi doctor who experimented on them.,72152
m/albino_alligator,,Albino Alligator,"When a robbery in New Orleans ends in disaster, the mercurial burglar Dova (Matt Dillon) escapes with his cohorts to a seedy, nearby bar. Capturing all those inside, the criminals trade barbs with the establishment's feisty bartender Janet Boudreaux (Faye Dunaway). The pub becomes highly volatile, however, when the police encircle it; as it turns out, they were already there surveilling another of the bar's patrons, a suspected illicit arms trafficker named Guy Foucard (Viggo Mortensen).",28513
m/a_brighter_summer_day_1991,"Politics and movies and fathers and sons and mothers and daughters and first love and scorching, insensate first jealousy... almost hallucinatory violence that feels like Greek tragedy and Proust and Shakespeare and electric shadows.",A Brighter Summer Day,"A boy experiences first love, friendships and injustices growing up in 1960s Taiwan.",10108
m/a_brighter_summer_day_1991,This extraordinarily tender yet epic and incisive portrait of Taiwan is one of film's great fumblings towards this elusive truth.,A Brighter Summer Day,"A boy experiences first love, friendships and injustices growing up in 1960s Taiwan.",10111
m/10008830-bill,"Even a hilarious turn by Kristen Wiig as the owner of a doughnut company can't save this clichéd, meandering story from playing like American Beauty lite.",Meet Bill,A mild-mannered bank executive (Aaron Eckhart) mentors a teenage con artist and tries to make a career change as a doughnut merchant.,87694
m/1013884-mighty_joe_young,"Great Willis O'Brien effects, a good story and fine cast. A wonderful fantasy, not as good as King Kong, but still fun to watch.",Mighty Joe Young,"Jill Young (Terry Moore) has raised Joe, her gentle pet gorilla, since he was a baby. When a Hollywood, Calif., nightclub owner (Robert Armstrong) travels to Africa and notices the amazing animal, he pursuades Jill to send Joe to Hollywood. But Joe grows restless performing for crowds and finally breaks free from captivity, wreaking havoc on the city. To save Joe from the authorities, who want him dead, Jill must create an elaborate plan to send him back to Africa.",56882
m/1079452-assignment,Stylish spy flick with a surprisingly good cast.,The Assignment,"Annibal Ramirez (Aidan Quinn) is an American naval officer who looks remarkably like notorious international assassin Carlos Sanchez (also Quinn). Veteran CIA agent Jack Shaw (Donald Sutherland) has a vendetta against Sanchez and recruits Ramirez to impersonate the fugitive. Along with Mossad operative Amos (Ben Kingsley), Shaw begins training Ramirez to become Sanchez, but the mission proves to be incredibly perilous, and the American soon wonders if it's worth the risk.",40788
m/1005875-dinner_at_eight,"Audiences of the era may have been fascinated to see the inner workings of the upper crust, but these are painfully dull, generic ordeals.",Dinner at Eight,"In this comedic drama, an ambitious New York socialite plans an extravagant dinner party as her businessman husband, Oliver (Lionel Barrymore), contends with financial woes, causing a lot of tension between the couple. Meanwhile, their high-society friends and associates, including the gruff Dan Packard (Wallace Beery) and his sultry spouse, Kitty (Jean Harlow), contend with their own entanglements, leading to revelations at the much-anticipated dinner.",38842
m/10012207-stolen,"Unvarying in tone and style, it's a rough slog.",Stolen,"A detective (Jon Hamm) becomes obsessed with solving a child's 50-year-old murder, uncovering striking similarities between the case and his son's disappearance.",65075
m/1079452-assignment,"If you believe that Elvis still lives or that a millennial invasion of flying saucers is imminent, you might buy the bogus premise.",The Assignment,"Annibal Ramirez (Aidan Quinn) is an American naval officer who looks remarkably like notorious international assassin Carlos Sanchez (also Quinn). Veteran CIA agent Jack Shaw (Donald Sutherland) has a vendetta against Sanchez and recruits Ramirez to impersonate the fugitive. Along with Mossad operative Amos (Ben Kingsley), Shaw begins training Ramirez to become Sanchez, but the mission proves to be incredibly perilous, and the American soon wonders if it's worth the risk.",40777
m/1010979-jazz_singer,... 111 minutes is a lot to take for anyone but the most keen Diamond fans.,The Jazz Singer,"Jess Robin (Neil Diamond) dreams of a career in popular music, but his father, Cantor Rabinovitch (Laurence Olivier), forbids it, insisting Jess live as a traditional Jew and inherit his position at the synagogue. With the help of friend and professional musician Bubba (Franklin Ajaye), Jess gets a chance to go to Los Angeles and have famous singer Keith Lennox (Paul Nicholas) record one of his songs. Defying both his father and his wife, Jess leaves New York to pursue his dreams.",6819
m/1018989-silent_night_deadly_night,,"Silent Night, Deadly Night","An orphan raised by nuns (Lilyan Chauvin, Gilmer McCormick) grows up to be a killer toy-store Santa Claus.",39999
m/1045706-calendar_girl,Can't we just agree to let Marilyn Monroe rest in peace?,Calendar Girl,"In 1962, lifelong friends Roy Darpinian (Jason Priestley), Ned Bleuer (Gabriel Olds) and Scott Foreman (Jerry O'Connell) have just graduated from their small Nevada town's high school. With time running out before Roy must report for Army training, he is determined to meet his ideal woman, Marilyn Monroe (Stephanie Anderson). After he steals a car from his loan-shark employers, Arturo (Kurt Fuller) and Antonio (Stephen Tobolowsky), the trio hits the road for Los Angeles.",11398
m/1128319-american_gun,"Its intentions are good, at least if you share the film's wariness of guns, but the execution so earnest as to be joyless.",American Gun,A distraught man (James Coburn) embarks on a cross-country odyssey to track the weapon used to kill his daughter (Virginia Madsen).,42732
m/1018009-running_scared,,Running Scared,"Ray and Danny (Gregory Hines, Billy Crystal) are two Chicago police detectives hot on the trail of drug kingpin Julio Gonzales (Jimmy Smits). They manage to nab the drug lord, but the bust is messy, and the two are suspended. While vacationing in Key West, Fla., they decide to retire from the police force and open up a bar. But when they return to Chicago and find out that Gonzales has been released on bail, they vow not to quit the force until the dangerous dealer is behind bars for good.",9801
m/1010979-jazz_singer,,The Jazz Singer,"Jess Robin (Neil Diamond) dreams of a career in popular music, but his father, Cantor Rabinovitch (Laurence Olivier), forbids it, insisting Jess live as a traditional Jew and inherit his position at the synagogue. With the help of friend and professional musician Bubba (Franklin Ajaye), Jess gets a chance to go to Los Angeles and have famous singer Keith Lennox (Paul Nicholas) record one of his songs. Defying both his father and his wife, Jess leaves New York to pursue his dreams.",6834
m/1018009-running_scared,Crystal and Hines are a great double act. Laughs aplenty.,Running Scared,"Ray and Danny (Gregory Hines, Billy Crystal) are two Chicago police detectives hot on the trail of drug kingpin Julio Gonzales (Jimmy Smits). They manage to nab the drug lord, but the bust is messy, and the two are suspended. While vacationing in Key West, Fla., they decide to retire from the police force and open up a bar. But when they return to Chicago and find out that Gonzales has been released on bail, they vow not to quit the force until the dangerous dealer is behind bars for good.",9794
